fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.699595,0.489432,0.0,0.546494,0.425587,0.005519,0.039486,859
1,0.72783,0.525815,0.0,0.557497,0.431557,0.005997,0.040831,859
2,0.735983,0.535453,0.0,0.541596,0.420448,0.005264,0.038635,852
3,0.679476,0.380333,0.0,0.509747,0.399664,0.007538,0.055318,863
4,0.750617,0.556702,0.0,0.545925,0.426331,0.004562,0.037808,863
