fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.997962,0.0,0.995382,5.8e-05,0.003963,41.0
1,0.99585,0.0,0.988781,0.000124,0.004851,38.0
2,0.997686,0.0,0.996073,5.9e-05,0.003441,43.0
3,0.996517,0.0,0.993313,0.000101,0.005055,42.0
4,0.999035,0.0,0.996012,2.8e-05,0.002436,40.0
Mean,0.99741,0.0,0.993912,7.4e-05,0.003949,40.8
