fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.990351,0.980401,0.0,0.895816,0.794968,0.000196,0.00624,859
1,0.991833,0.98336,0.0,0.89964,0.802096,0.000197,0.006344,859
2,0.990454,0.980447,0.0,0.887685,0.792962,0.000206,0.006068,852
3,0.989419,0.9785,0.0,0.892722,0.793447,0.000244,0.006791,863
4,0.989217,0.977947,0.0,0.893392,0.790529,0.000225,0.006593,863
