fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.388558,-0.431317,0.001803,0.351733,0.275869,0.002539,0.039925,62.0
1,,0.276441,-0.747056,0.097668,0.297545,0.245741,0.003005,0.042408,37.0
2,,0.286906,-1.329416,0.041225,0.290239,0.214276,0.003362,0.046374,51.0
3,,0.469843,-0.193394,6.9e-05,0.417932,0.319109,0.002119,0.036924,66.0
4,,0.524122,-0.016709,0.000132,0.495177,0.376243,0.002033,0.036675,48.0
Mean,,0.389174,-0.5435784,0.0281794,0.3705252,0.2862476,0.0026116,0.04046120000000001,52.8
