fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.885399,0.666987,0.0,0.673687,0.549766,0.015028,0.076709,61.0
1,,0.893938,0.655324,0.0,0.602162,0.472662,0.016299,0.085668,58.0
2,,0.929149,0.773512,0.0,0.917011,0.807317,0.009395,0.056753,32.0
3,,0.88281,0.651701,0.0,0.674299,0.539625,0.015114,0.078998,66.0
4,,0.885711,0.664356,0.0,0.664658,0.536832,0.013262,0.072624,59.0
Mean,,0.8954013999999999,0.682376,0.0,0.7063634000000001,0.5812404,0.013819600000000001,0.07415039999999999,55.2
