fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.800664,0.406333,0.0,0.436798,0.362441,0.001799,0.026669,33.0
1,,0.846553,0.48645,0.0,0.537076,0.454257,0.002942,0.036259,28.0
2,,0.906831,0.320955,0.0,0.584401,0.494119,0.004124,0.056056,29.0
3,,0.935317,0.777827,0.0,0.583621,0.492782,0.001337,0.027073,22.0
4,,0.933422,0.804097,0.0,0.606097,0.511058,0.001207,0.023287,24.0
Mean,,0.8845573999999999,0.5591324,0.0,0.5495986,0.4629314000000001,0.0022818,0.0338688,27.2
