fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.930792,0.812727,0.0,0.845153,0.682163,0.002945,0.038626,45.0
1,,0.934391,0.825354,0.0,0.866874,0.707445,0.003269,0.040162,54.0
2,,0.922059,0.797183,0.0,0.831872,0.667849,0.003426,0.043656,48.0
3,,0.931845,0.816386,0.0,0.861782,0.726574,0.002886,0.036988,54.0
4,,0.930506,0.817126,0.0,0.865133,0.728129,0.003155,0.037995,51.0
Mean,,0.9299186,0.8137551999999999,0.0,0.8541627999999999,0.702432,0.0031362,0.0394854,50.4
