fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.781512,0.0,0.772912,0.109095,0.261551,644.0
1,0.724655,0.0,0.699314,0.136825,0.29353,675.0
2,0.764424,0.0,0.745199,0.12281,0.277886,639.0
3,0.750446,0.0,0.731331,0.117525,0.274338,632.0
4,0.62897,0.0,0.614978,0.198634,0.348947,722.0
Mean,0.730001,0.0,0.712747,0.136978,0.29125,662.4
