fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.741475,0.0,0.656845,0.323394,0.488569,159.0
1,0.663162,0.0,0.527723,0.492993,0.60457,207.0
2,0.706859,0.0,0.547163,0.376109,0.524905,193.0
3,0.687365,0.0,0.553556,0.349549,0.504289,198.0
4,0.429375,0.0,0.302793,1.19349,0.988543,163.0
Mean,0.645647,0.0,0.517616,0.547107,0.622175,184.0
