global_actual,global_preds
-0.43352,-0.1821706623094207
-0.43352,-0.2223365171410123
0.41047,2.500260267389481
-1.53719,-0.0585628962352884
-1.53719,-0.0408449536426712
0.41047,2.926863189572506
-0.43352,-0.4913664834422454
-0.43352,-0.4885797715017079
0.41047,-0.5398283003183633
0.41047,-0.6349620832329134
0.41047,1.4685611260652334
0.05583,-0.6772802542804216
-1.22161,-0.7883750027205888
-1.22161,-0.5538713392756138
-1.22161,-0.4103011896623421
-1.22161,-0.1964628153115664
0.05583,-0.0623219939165616
-1.22161,-0.1425016230227856
-1.22161,-0.3109727091092013
-1.22161,-0.4865717720014365
-1.22161,-0.681600275671171
-1.22161,-0.8667694076124194
-1.22161,-1.0357227723109237
-1.22161,-1.2159238256630407
0.05583,-0.5709899354395508
-1.22161,-0.6700705804555293
-1.22161,-0.4217295790746173
0.05583,-0.2943914461249556
0.05583,-0.1528537563769133
1.33328,-0.1269832386316092
0.05583,-0.2744855756270502
-1.22161,-0.4740673814827024
-1.22161,-0.689398228022022
-1.22161,-0.8924219266667193
-1.22161,-1.077880983669504
-1.22161,-1.25223302536221
-1.22161,-1.4283360152643363
-1.40727,-1.1123075601106145
-1.34483,-0.6672204005416615
-1.18615,-0.6350544357328588
-1.17352,-0.6554557898406118
-1.50971,-0.6651333060292576
-1.43981,0.2089810063505466
-1.58756,0.3383558508597759
-0.30656,0.3789909508356932
-1.84902,0.3685151959068578
-1.78395,0.354789016907198
-1.45702,-1.0382625710395257
-1.67907,-0.9511411398488724
-1.38474,-0.9169627963696156
-1.56962,-0.9359286224983558
-1.79985,-0.9478588618141174
0.93614,-0.2186578604668163
0.50666,0.4487609099905109
1.05632,0.3138326178148751
0.05805,0.3298777773863984
0.18214,0.3244681224724238
1.24788,0.3185818578721449
0.48138,0.0334253527326037
0.55161,0.0881509726685039
-0.10357,0.0703045044304611
0.42189,0.051105562475292
0.78792,0.2252209790065601
0.95726,0.5298544434192283
0.40925,0.3761911613732407
0.81763,0.3905201661422736
0.62073,0.3846152450772445
0.34004,0.3800723059276147
0.30461,0.2579982279819378
0.85248,0.2685421599917655
0.72849,0.2678386732968269
0.29804,0.2657533784434021
0.845,0.9839800302790244
1.59995,1.043353779431884
1.15963,0.8389224775166667
0.81653,0.8340035296176659
0.30808,0.8388212167047748
1.18776,0.839467894164606
1.01195,0.450453969169436
1.13362,0.2816325194741016
0.4232,0.342131775352504
1.00516,0.3972505907810259
-1.32768,-1.4353075342176589
-1.4379,-1.471253682712107
-0.90584,-1.464387383820431
-1.40185,-1.4551418157810907
0.61813,-0.5685633352607355
-1.0287,-0.6341175932569605
-0.76826,-0.6133684550514922
-1.02803,-0.5891651113901302
-0.17578,0.2519983149171274
0.58231,0.2145620787822828
0.51414,0.2348626819815214
-0.16875,0.2473906480328819
0.7627,0.3824597335293178
0.16248,0.2090805274920921
0.74103,0.1308175576943701
-0.06899,0.1572755441190922
0.22257,0.1825633922755895
0.61359,0.4224085635478631
-0.27086,0.1346367339912298
0.5349,0.0465835593584526
0.51399,0.0845852483445372
-0.27335,0.1136509106356906
-0.03366,-0.0973853796874341
0.12224,-0.3150818779548091
0.95799,-0.2342080796068142
0.12415,-0.1601287578227479
0.77146,0.1118749471664605
0.18444,-0.0661667103737666
0.91034,-0.1510594213889381
0.91706,-0.1233774269038826
0.07349,-0.0958436268371787
1.02649,0.8858687415778335
0.57485,0.7688291196433007
0.53645,0.5763763478931181
0.79069,0.5844830917304701
0.80286,0.5811762783449665
0.50211,0.5782782874908867
0.7739,0.5119984069942798
0.59245,0.4949564163142207
0.99527,0.5013852780967049
0.81204,0.5056184359473951
-0.91995,-0.8657929726389805
-0.18899,-1.0036476902805664
-1.21724,-0.9738732922891188
-0.33423,-0.9293832028026572
1.50778,-0.085202003339101
0.47025,-0.2865552510207982
1.22969,-0.2296789530741798
0.34577,-0.1646299973741156
1.7623,0.0605563816212011
0.53983,-0.2703261025636863
0.83713,-0.1562053512766808
-0.00947,-0.0409890763325825
0.34488,1.1864717797238096
0.44927,0.9773951980516828
0.09888,0.9829344284121546
-0.366,0.982199327707816
0.42895,0.9808373457924168
-0.17273,1.23913292086181
-0.01786,0.8033036270018884
-0.92066,0.6817544195974722
-0.60516,0.7438427143658065
-0.00283,0.7775604651236734
-0.76594,0.4971106681008621
-0.78162,0.1339339071712501
-1.25578,0.2715239549656398
-0.68205,0.3889437848538283
1.33665,0.8927054060849867
0.90897,0.5583118509697547
0.64896,0.4182808657133495
1.75231,0.4796776715132725
0.96241,0.5293638563815196
-0.33365,0.4935131498015976
-0.39794,1.2105492972282146
-0.70079,0.991638179121514
-0.84622,0.983946676599278
-1.01543,0.990181295189282
-0.67299,0.994069758356838
0.07766,-0.0268953619779116
-0.84518,-0.3480231583475548
-0.09601,-0.2301281217103419
0.16576,-0.1245087075353168
1.68575,0.6207750746920727
-0.07559,0.4364505826983589
0.58118,0.42830592604518
0.43384,0.4393555922224572
-0.00601,0.4415707324712257
