fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.675252,0.364967,0.0,0.656685,0.482273,0.606995,0.621296,3671
1,0.83952,0.688532,0.0,0.822164,0.648001,0.306654,0.409985,3667
2,0.773755,0.558421,0.0,0.753845,0.57341,0.435511,0.505427,3542
3,0.638486,0.260304,0.0,0.646853,0.468289,0.589914,0.62246,2700
4,0.68219,0.372785,0.0,0.673164,0.498177,0.617743,0.621186,3324
