fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.406933,0.0,0.348868,0.283488,0.445493,504.0
1,0.257298,0.0,0.22754,0.647499,0.76087,483.0
2,0.414441,0.0,0.344587,0.289607,0.4496,478.0
3,0.394427,0.0,0.395539,0.25629,0.421324,402.0
4,0.15149,0.00095,0.141129,0.84468,0.881566,473.0
Mean,0.324918,0.00019,0.291533,0.464313,0.591771,468.0
