fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.741532,0.0,0.739887,0.146745,0.307015,2693.0
1,0.604122,0.0,0.599268,0.213868,0.397078,2672.0
2,0.741561,0.0,0.747011,0.154396,0.31849,2585.0
3,0.809782,0.0,0.803077,0.112784,0.266721,2004.0
4,0.581587,0.0,0.582796,0.23182,0.418195,2426.0
Mean,0.695717,0.0,0.694408,0.171923,0.3415,2476.0
