fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.789405,0.0,0.689639,0.531112,0.587797,474.0
1,0.675479,0.0,0.527496,1.208988,0.970809,512.0
2,0.793824,0.0,0.682598,0.507397,0.58085,479.0
3,0.737729,0.0,0.635033,0.429062,0.547403,294.0
4,0.655189,0.0,0.541353,1.948229,1.286547,425.0
Mean,0.730325,0.0,0.615224,0.924958,0.794681,436.8
