epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,0,,,0.9541856646537781,0.954645574092865,0.9541856646537781
0,0,0.9709069132804871,,,,
1,1,,,0.8655400276184082,0.8661616444587708,0.8655400276184082
1,1,0.9556711912155151,,,,
2,2,,,0.5447549223899841,0.5469752550125122,0.5447549223899841
2,2,0.8663421273231506,,,,
3,3,,,0.27706584334373474,0.29838189482688904,0.27706587314605713
3,3,0.5349664688110352,,,,
4,4,,,0.11340439319610596,0.13052472472190857,0.11340439319610596
4,4,0.2999367415904999,,,,
5,5,,,0.1461474746465683,0.16026557981967926,0.1461474746465683
5,5,0.10987594723701477,,,,
6,6,,,0.06755542010068893,0.08767268061637878,0.06755542755126953
6,6,0.12961693108081818,,,,
7,7,,,0.07864630222320557,0.09540245682001114,0.07864627987146378
7,7,0.09844837337732315,,,,
8,8,,,0.0699666440486908,0.08317898213863373,0.0699666365981102
8,8,0.1060580164194107,,,,
9,9,,,0.08370983600616455,0.092623271048069,0.08370983600616455
9,9,0.08255225419998169,,,,
10,10,,,0.033949773758649826,0.03795094043016434,0.03394978120923042
10,10,0.08244691044092178,,,,
11,11,,,0.038074564188718796,0.0416189506649971,0.0380745530128479
11,11,0.05785863474011421,,,,
12,12,,,0.03435090184211731,0.04664814844727516,0.0343509167432785
12,12,0.05719989910721779,,,,
13,13,,,0.0448010079562664,0.05616842955350876,0.0448010079562664
13,13,0.05571848899126053,,,,
14,14,,,0.03278333321213722,0.03779144585132599,0.03278334438800812
14,14,0.058821048587560654,,,,
15,15,,,0.04105493053793907,0.047329291701316833,0.041054949164390564
15,15,0.04676441848278046,,,,
16,16,,,0.035246361047029495,0.0418461449444294,0.0352463535964489
16,16,0.055833008140325546,,,,
17,17,,,0.05222982168197632,0.0665409043431282,0.05222981050610542
17,17,0.053474489599466324,,,,
18,18,,,0.040009018033742905,0.05204838886857033,0.0400090217590332
18,18,0.05938107520341873,,,,
19,19,,,0.03680095449090004,0.04251173138618469,0.03680096194148064
19,19,0.05839208513498306,,,,
20,20,,,0.04053308442234993,0.04623531550168991,0.04053306579589844
20,20,0.05262569710612297,,,,
21,21,,,0.03304785490036011,0.0399010144174099,0.03304785117506981
21,21,0.05545374006032944,,,,
22,22,,,0.040039271116256714,0.05313319340348244,0.04003927484154701
22,22,0.05304800346493721,,,,
23,23,,,0.04353821277618408,0.05623624473810196,0.04353820160031319
23,23,0.05221666768193245,,,,
24,24,,,0.03140948712825775,0.03914407268166542,0.03140948712825775
24,24,0.04545868560671806,,,,
25,25,,,0.03142894431948662,0.03816111758351326,0.03142894431948662
25,25,0.036326486617326736,,,,
26,26,,,0.02773415483534336,0.03533173352479935,0.02773415483534336
26,26,0.04953291267156601,,,,
27,27,,,0.034224722534418106,0.04398278892040253,0.03422470763325691
27,27,0.0445815809071064,,,,
28,28,,,0.045268937945365906,0.05399901419878006,0.045268941670656204
28,28,0.04792233556509018,,,,
29,29,,,0.040837664157152176,0.04911978170275688,0.04083765670657158
29,29,0.0522737056016922,,,,
30,30,,,0.02293684147298336,0.030376587063074112,0.022936830297112465
30,30,0.04884522035717964,,,,
31,31,,,0.022936547175049782,0.030336061492562294,0.022936543449759483
31,31,0.04677886888384819,,,,
32,32,,,0.02200092375278473,0.02902514487504959,0.02200092375278473
32,32,0.05208733677864075,,,,
33,33,,,0.03174269199371338,0.03947388008236885,0.03174269199371338
33,33,0.043066561222076416,,,,
34,34,,,0.042996909469366074,0.049940019845962524,0.04299689829349518
34,34,0.05206404998898506,,,,
35,35,,,0.047248486429452896,0.05424850061535835,0.04724849760532379
35,35,0.0461454875767231,,,,
36,36,,,0.038370247930288315,0.045341674238443375,0.038370225578546524
36,36,0.04679126664996147,,,,
37,37,,,0.021432777866721153,0.029144152998924255,0.021432766690850258
37,37,0.05320471525192261,,,,
38,38,,,0.025150546804070473,0.02980857901275158,0.025150557979941368
38,38,0.043807126581668854,,,,
39,39,,,0.026326173916459084,0.030709929764270782,0.026326170191168785
39,39,0.04766424372792244,,,,
40,40,,,0.020867377519607544,0.028226075693964958,0.020867398008704185
40,40,0.04998321458697319,,,,
41,41,,,0.03367874398827553,0.04132157191634178,0.03367874398827553
41,41,0.046853724867105484,,,,
42,42,,,0.050042424350976944,0.05676110461354256,0.050042424350976944
42,42,0.03970656916499138,,,,
43,43,,,0.05166235193610191,0.058164991438388824,0.051662344485521317
43,43,0.05631125718355179,,,,
44,44,,,0.03784315288066864,0.04531153663992882,0.03784315660595894
44,44,0.050964899361133575,,,,
45,45,,,0.020716289058327675,0.028931250795722008,0.02071627415716648
45,45,0.044086381793022156,,,,
46,46,,,0.022634750232100487,0.028201904147863388,0.022634759545326233
46,46,0.04534957930445671,,,,
47,47,,,0.02702469192445278,0.0310546662658453,0.027024680748581886
47,47,0.046195194125175476,,,,
48,48,,,0.02400493063032627,0.029035145416855812,0.024004945531487465
48,48,0.05532584711909294,,,,
49,49,,0.04551151767373085,,,
49,49,,,0.01987309753894806,0.027673380449414253,0.01987309195101261
49,49,0.04551151767373085,,,,
