cv_1_pred_quantified_delivery,cv_1_pred_quantified_toxicity,quantified_delivery,quantified_toxicity,smiles,Formulation_ID,Cationic_Lipid_Mass_Ratio,Phospholipid_Mass_Ratio,Cholesterol_Mass_Ratio,PEG_Lipid_Mass_Ratio,Helper_lipid_ID,Amine,Tail,Lipid_name,Library_ID,Experiment_ID,Purity,Mix_type,Cargo_type,Experimenter_ID,Model_type,Target_or_delivered_gene,Delivery_target,Route_of_administration,Experiment_weight,Goal,Batch_or_individual_or_barcoded,Value_name,screen_id,Comment,Amine_number,Full_SMILES,Amine_SMILES,Tail_length,Num_tails,Ketone,Isocyanide,Is_cyclic,Formulation,Batch_or_individual,Random_id,4CR_Lipid_name,Aldehyde,Carboxylic_acid,Amine_name,Tail_name,Linker,MolWt,Tail_count,Num tails,Common_name,Ester,Disulfide,Total_radiance,Form_comment,molecular_weight,Prediction_split_name
0.76169777,0.27376738,0.4133132706632956,,O=C(CCCCC(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)N(C(CCCC(OCCC#CCCCCCC)=O)(C(NC1(C2)C[C@H](C[C@H]2C3)C[C@H]3C1)=O)CCCC(OCCC#CCCCCCC)=O)CCN(C)C,,,,,,DOPE,a09,,4k:a09|i04|o03+o03|cl26&o42,4CR_Ketone,IR_4CR_ketone,Pure,Microfluidic,mRNA,jwitten,Mouse,FFL,muscle,intramuscular,3.0,max,Individual,log luminescence,JW_IR_ML_4CR_ketone,,,,,,,o03+o03,i04,,4CR_Ket_Optimized,,,,,cl26&o42,,,,,,,EB-62,,,,,,IR_4CR_ketone_4CR_Ketone_muscle_intramuscular
0.27318433,0.56788826,,0.8347809667673707,CCCCC(C)C(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)C(C)CCCC)c1,,,,,,DOPE,,,3-a2-6b,Xue_CAD_LNP,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,,FLL,,,1.0,max,,Cell_viability,Xue_CAD_LNP,Tox,,,,,,,,,Lxue,,,,,,,,,,,,,,,,,,Xue_CAD_LNP_Xue_CAD_LNP_nan_nan
0.3078647,0.6143157,,0.9975453172205428,CCCCC(C)C(=O)Oc1cc(CNCCN(C)C)cc(OC(=O)C(C)CCCC)c1,,,,,,DOPE,,,5-a2-6b,Xue_CAD_LNP,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,,FLL,,,1.0,max,,Cell_viability,Xue_CAD_LNP,Tox,,,,,,,,,Lxue,,,,,,,,,,,,,,,,,,Xue_CAD_LNP_Xue_CAD_LNP_nan_nan
0.5384286,0.26909435,0.0627595366759496,,CCN(CC)CCCCN(C(=O)CCCCC(=O)OCC(CCC)CCC)C(CCCC(=O)OCC1=CC[C@@H](C(=C)C)CC1)(CCCC(=O)OCC2=CC[C@@H](C(=C)C)CC2)C(=O)NCCCC,,,,,,DOPE,a64,,4k:a64|i02|o31+o31|cl05&o47,4CR_Ketone,IR_4CR_ketone,Pure,Hand,mRNA,jwitten,Mouse,FFL,muscle,intramuscular,3.0,max,Individual,log luminescence,JW_IR_ML_4CR_ketone,,,,,,,o31+o31,i02,,Kauffman,,,,,cl05&o47,,,,,,,FO-34,,,,,,IR_4CR_ketone_4CR_Ketone_muscle_intramuscular
0.30747685,0.5945515,,0.5930891238670697,CCCCCCCC(=O)Oc1cc(CNCCN2CCN(C)CC2)cc(OC(=O)CCCCCCC)c1,,,,,,DOPE,,,9-a2-7,Xue_CAD_LNP,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,,FLL,,,1.0,max,,Cell_viability,Xue_CAD_LNP,Tox,,,,,,,,,Lxue,,,,,,,,,,,,,,,,,,Xue_CAD_LNP_Xue_CAD_LNP_nan_nan
0.29673287,0.5877477,,0.6153700906344411,CCCCC(CC)C(=O)Oc1cc(CNCCCN(CC)CC)cc(OC(=O)C(CC)CCCC)c1,,,,,,DOPE,,,8-a2-7b2,Xue_CAD_LNP,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,,FLL,,,1.0,max,,Cell_viability,Xue_CAD_LNP,Tox,,,,,,,,,Lxue,,,,,,,,,,,,,,,,,,Xue_CAD_LNP_Xue_CAD_LNP_nan_nan
0.29202572,0.5673833,,0.3780211480362533,CCCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCCC)c(CNCCCN)c(OC(=O)C(C)CCCCC)c1,,,,,,DOPE,,,11-a3-7b,Xue_CAD_LNP,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,,FLL,,,1.0,max,,Cell_viability,Xue_CAD_LNP,Tox,,,,,,,,,Lxue,,,,,,,,,,,,,,,,,,Xue_CAD_LNP_Xue_CAD_LNP_nan_nan
0.39479813,0.20096262,0.1538461538461538,,N(C)(C)CCCN(C(=O)CCCCCCC/C=C\C/C=C\CCCCC)C(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,,50.1,24.6,16.8,8.5,DOTAP,a23,,4k:a23|i03|o01+o01|c21,4CR_Ketone,IR_4CR_ketone,Pure,Hand,mRNA,jwitten,HBEC_ALI,FFL,lung_epithelium,in_vitro,2.0,max,Individual,log luminescence,JW_IR_ML_4CR_ketone,,,,,,,o01+o01,i03,,T1-5,,,,,c21,,,,,,,4CR19,,,,,,IR_4CR_ketone_4CR_Ketone_lung_epithelium_in_vitro
0.2927816,0.55579376,,0.3198640483383695,CCCCCCCC(=O)Oc1cc(CNCCCN)cc(OC(=O)CCCCCCC)c1,,,,,,DOPE,,,11-a2-7,Xue_CAD_LNP,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,,FLL,,,1.0,max,,Cell_viability,Xue_CAD_LNP,Tox,,,,,,,,,Lxue,,,,,,,,,,,,,,,,,,Xue_CAD_LNP_Xue_CAD_LNP_nan_nan
0.2934947,0.58708197,,0.6306646525679748,CCCCC(CC)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(CC)CCCC)c1,,,,,,DOPE,,,1-a2-7b2,Xue_CAD_LNP,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,,FLL,,,1.0,max,,Cell_viability,Xue_CAD_LNP,Tox,,,,,,,,,Lxue,,,,,,,,,,,,,,,,,,Xue_CAD_LNP_Xue_CAD_LNP_nan_nan
