fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.391933,0.0,0.441155,0.002833,0.031163,797.0
1,0.345362,0.0,0.450468,0.003724,0.032377,789.0
2,0.392029,0.0,0.435423,0.003382,0.032251,791.0
3,0.336969,0.0,0.385653,0.005497,0.048814,796.0
4,0.415991,0.0,0.440842,0.003148,0.031369,799.0
Mean,0.376457,0.0,0.430708,0.003717,0.035195,794.4
