fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.487172,0.004035,0.549131,0.068553,0.219186,33.0
1,0.505219,0.000644,0.543576,0.044845,0.173182,42.0
2,0.431378,0.010857,0.44801,0.048432,0.172992,34.0
3,0.403929,0.013163,0.448791,0.051636,0.185556,37.0
4,0.592649,0.000222,0.606463,0.034213,0.161149,34.0
Mean,0.484069,0.005784,0.519194,0.049536,0.182413,36.0
