fold,pearson,pearson_p_val,spearman,kendall,rmse,n_vals
0,0.7690025895280198,6.4675515654439055e-96,0.6151884906411197,0.4712954736290226,0.056093870431124924,485
1,0.7410964572300348,1.3203052451369172e-85,0.5778041094057708,0.43716149385256237,0.06004511451750302,485
2,0.7213492435087511,4.417545767904378e-79,0.5784852581827333,0.43754484182878106,0.06288879659479717,485
3,0.7011604686301809,4.0637032158023905e-73,0.5805971469665407,0.44717333152793093,0.06622670270482411,486
4,0.7176751098955488,4.360676556185617e-78,0.5964708560558709,0.4513217053329225,0.06311709541715892,486
