fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.278553,0.0,0.26806,0.364363,0.513167,504.0
1,0.340164,0.0,0.337259,0.336598,0.493876,483.0
2,0.152035,0.000854,0.143963,0.617878,0.696908,478.0
3,0.308893,0.0,0.334152,0.335628,0.481692,402.0
4,0.020353,0.65884,0.026784,1.125962,1.023615,473.0
Mean,0.22,0.131939,0.222044,0.556086,0.641852,468.0
