fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.678664,0.0,0.542809,0.760449,0.698956,474.0
1,0.682982,0.0,0.520324,0.727609,0.689703,512.0
2,0.623863,0.0,0.467632,1.153937,0.912836,479.0
3,0.558583,0.0,0.429469,0.624071,0.650922,294.0
4,0.482922,0.0,0.331847,2.692263,1.517039,425.0
Mean,0.605403,0.0,0.458416,1.191666,0.893891,436.8
