fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.665231,0.0,0.660889,0.187458,0.343488,2693.0
1,0.668012,0.0,0.663202,0.191928,0.347541,2672.0
2,0.586035,0.0,0.600151,0.228091,0.39926,2585.0
3,0.759925,0.0,0.750719,0.137102,0.290067,2004.0
4,0.44081,0.0,0.459409,0.272889,0.456349,2426.0
Mean,0.624003,0.0,0.626874,0.203494,0.367341,2476.0
