fold,pearson,r2,spearman,mse,mae,n_vals,note
0,0.42385273909664245,0.1704161615895734,0.29366933427735303,0.003043436001323816,0.033582121064516135,31.0,
1,0.5021715280530471,0.16098302026450495,0.3792310145264792,0.0049486799232132195,0.03853189451428572,28.0,
2,0.5504274457913048,0.2066011687074426,0.46061377691505184,0.0055638163783145855,0.04660701008400001,25.0,
3,0.4838907261121987,-0.008528233436250199,0.5382818764130182,0.006237137417490552,0.07096865732068966,29.0,
4,0.5524386152185347,0.03488275075242653,0.4039771558355843,0.003747959756460486,0.030827067570370365,27.0,
Mean,0.5025562108543455,0.11287097357553946,0.4151546315934973,0.004708205895360531,0.044103350110772384,28.0,
