fold,pearson,r2,spearman,mse,mae,n_vals,note
0,0.08470623375886586,-0.10278975479934171,0.14204652377378554,0.0010457622319211362,0.026362283571428575,56.0,
1,-0.10019932599703285,-0.17062659960026938,-0.10512007385526856,0.0009665234297422709,0.024992697966101693,59.0,
2,-0.07241186809697175,-0.21356173242764553,-0.053277379275333374,0.0011617813287332069,0.027848994000000012,60.0,
3,-0.0783701822090541,-1.6712346693857203,-0.059853698823318646,0.0025745214512190367,0.04180678124999999,56.0,
4,-0.10985392334710732,-0.23576958097057643,-0.09864817095725031,0.0012426515129229597,0.028006447894736844,57.0,
Mean,-0.05522581317826003,-0.47879646743671067,-0.03497055982747707,0.0013982479909077222,0.02980344093645342,57.6,
