fold,pearson,r^2,pearson_p_val,spearman,kendall,rmse,n_vals,note
0,0.593802659559336,0.35260159849974065,1.122847393691274e-06,0.5483844327039167,0.41542857205399225,0.034533849948859906,57,
1,0.49838908195984016,0.24839167701677228,0.00010780099755459743,0.5383391524584328,0.40422031407006775,0.03646219516565019,55,
2,0.555906904330552,0.3090324862823775,2.2473883059802396e-06,0.549705908853514,0.4248798161685372,0.037159177018014425,63,
3,0.4009321388226655,0.1607465799409171,0.0012408012128427711,0.4408563157567879,0.34327268470846684,0.040024320203669334,62,
4,0.6289474434651233,0.3955748866413145,3.387267755344152e-08,0.6450409708895761,0.4924130408498341,0.037727797389601275,63,
