fold,pearson,r^2,pearson_p_val,spearman,kendall,rmse,n_vals,note
0,0.41439193061809154,0.1717206721613892,0.0005996200041061598,0.33189960466433344,0.23744354989446004,0.03792468292135318,65,
1,0.34760459728212584,0.12082895605166888,0.0025847464102388123,0.30537228064815064,0.2177071160197772,0.03695514118109083,73,
2,0.2681633012104371,0.0719115561160796,0.020885973600988983,0.26476536285215724,0.1959121765138394,0.036417628414740076,74,
3,0.08394082571835253,0.007046062222278833,0.4961479193261439,0.1708540542162557,0.13221070343868518,0.03930696128395238,68,
4,0.16364373042354122,0.02677927050693263,0.16958442715962763,0.19914386180479066,0.13579751168749013,0.03758829870720675,72,
