fold,pearson,r^2,pearson_p_val,spearman,kendall,rmse,n_vals,note
0,0.8005332475358676,0.6408534804103228,6.913256877950285e-11,0.5355131200438376,0.43581709246504574,0.05011127799558116,44,
1,0.7976201750088757,0.6361979435811895,9.091233297161197e-11,0.512497511928349,0.4163049229329923,0.05406768726738458,44,
2,0.7378794338304971,0.544466058870015,1.0984145766403965e-08,0.5014661381794668,0.408248290463863,0.05778524130597904,44,
3,0.5854856367049691,0.3427934307878231,2.9831940213093385e-05,0.5292759218360477,0.4389044975849376,0.06438782714660353,44,
4,0.7652387628830932,0.585590364218847,1.4562102458064453e-09,0.48907236819177363,0.394772459666467,0.057604943846347095,44,
