fold,pearson,r^2,pearson_p_val,spearman,kendall,rmse,n_vals,note
0,0.7800278480879168,0.6084434437926662,6.076700423131747e-07,0.6903159767988621,0.5205884609545358,0.15464626829305728,29,
1,0.7478824001999181,0.5593280845287906,3.1104864157816607e-06,0.6853338642355682,0.5105949603927762,0.16804593574129564,29,
2,0.7251617434780667,0.5258595542041494,8.588228969508042e-06,0.6695202730453831,0.5016633003624548,0.17834007311235978,29,
3,0.6340227324683021,0.4019848252865722,0.00022164378569687227,0.6389778219795623,0.48351991250775367,0.21141550987028854,29,
4,0.6999316742216811,0.4899043485787656,2.3769096531401015e-05,0.6352704674898216,0.4614229286756269,0.17921285711329038,29,
