Lipid_name,4CR_Lipid_name,Amine,Isocyanide,Aldehyde,Carboxylic_acid,Model_type,Delivery_target,Route_of_administration,Experiment_weight,screen_id
IR_4CR_aldehyde_111-16,111-16,IR_4CR_Amine_16,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_241-19,241-19,IR_4CR_Amine_19,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_241-9,241-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_241-1,241-1,IR_4CR_Amine_1,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_241-21,241-21,IR_4CR_Amine_21,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_611-21,611-21,IR_4CR_Amine_21,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_244-21,244-21,IR_4CR_Amine_21,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_244-12,244-12,IR_4CR_Amine_12,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_624-25,624-25,IR_4CR_Amine_25,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_613-22,613-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_111-4,111-4,IR_4CR_Amine_4,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_111-8,111-8,IR_4CR_Amine_8,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_244-10,244-10,IR_4CR_Amine_10,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_611-10,611-10,IR_4CR_Amine_10,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_624-23,624-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_111-9,111-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_622-22,622-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_244-9,244-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_613-12,613-12,IR_4CR_Amine_12,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_613-24,613-24,IR_4CR_Amine_24,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_111-10,111-10,IR_4CR_Amine_10,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_621-21,621-21,IR_4CR_Amine_21,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_613-9,613-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_624-22,624-22,IR_4CR_Amine_22,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_111-1,111-1,IR_4CR_Amine_1,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_241-10,241-10,IR_4CR_Amine_10,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_111-19,111-19,IR_4CR_Amine_19,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_613-11,613-11,IR_4CR_Amine_11,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_622-3,622-3,IR_4CR_Amine_3,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_111-6,111-6,IR_4CR_Amine_6,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_111-21,111-21,IR_4CR_Amine_21,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_613-3,613-3,IR_4CR_Amine_3,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_624-3,624-3,IR_4CR_Amine_3,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_622-24,622-24,IR_4CR_Amine_24,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_622-12,622-12,IR_4CR_Amine_12,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_624-24,624-24,IR_4CR_Amine_24,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_244-1,244-1,IR_4CR_Amine_1,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_624-20,624-20,IR_4CR_Amine_20,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_241-4,241-4,IR_4CR_Amine_4,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_622-13,622-13,IR_4CR_Amine_13,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,muscle,muscle,im,3,im_4cr_aldehyde
IR_4CR_aldehyde_244-4,244-4,IR_4CR_Amine_4,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,muscle,muscle,im,3,im_4cr_aldehyde
