fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.73447,0.0,0.731998,0.150161,0.312155,2693.0
1,0.523734,0.0,0.52235,0.263333,0.452948,2672.0
2,0.732598,0.0,0.739201,0.159133,0.328025,2585.0
3,0.796558,0.0,0.791141,0.120094,0.276765,2004.0
4,0.578475,0.0,0.57876,0.231184,0.418149,2426.0
Mean,0.673167,0.0,0.67269,0.184781,0.357608,2476.0
