fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.788691,0.0,0.687312,0.554179,0.607937,474.0
1,0.602746,0.0,0.453487,2.267639,1.399322,512.0
2,0.784979,0.0,0.675148,0.561469,0.617712,479.0
3,0.693736,0.0,0.594264,0.520733,0.608164,294.0
4,0.66034,0.0,0.542861,1.909049,1.27313,425.0
Mean,0.706098,0.0,0.590614,1.162614,0.901253,436.8
