fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.700451,1.6e-05,0.712649,0.001201,0.021293,30.0
1,0.705832,1.9e-05,0.758128,0.000943,0.021712,29.0
2,0.595354,0.000411,0.587903,0.002321,0.035304,31.0
3,0.746264,3e-06,0.745658,0.000799,0.021011,29.0
4,0.644167,5.2e-05,0.712125,0.001708,0.027957,33.0
Mean,0.678414,0.0001,0.703293,0.001394,0.025455,30.4
