fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.89709,0.774914,0.0,0.867497,0.700835,0.215148,0.362282,3671
1,0.826243,0.583638,0.0,0.783906,0.602987,0.409926,0.525102,3667
2,0.899057,0.776548,0.0,0.873896,0.709445,0.220381,0.371664,3542
3,0.909469,0.788605,0.0,0.894715,0.725632,0.16859,0.320303,2700
4,0.807706,0.453258,0.0,0.764448,0.580349,0.538486,0.595158,3324
