fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.874179,0.637694,0.0,0.662377,0.547545,0.01635,0.081423,61.0
1,,0.88952,0.657147,0.0,0.592021,0.468965,0.016213,0.083459,58.0
2,,0.936687,0.806543,0.0,0.930032,0.831658,0.008025,0.049945,32.0
3,,0.883017,0.650987,0.0,0.660332,0.523517,0.015145,0.07996,66.0
4,,0.893286,0.667871,0.0,0.652602,0.533273,0.013123,0.074409,59.0
Mean,,0.8953378000000001,0.6840484,0.0,0.6994727999999999,0.5809916,0.0137712,0.07383920000000001,55.2
