fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.708033,0.0,0.577807,0.511567,0.512934,474.0
1,0.491361,0.0,0.363819,1.400615,1.001675,512.0
2,0.576597,0.0,0.416993,1.080594,0.845234,479.0
3,0.205375,0.000394,0.119008,1.369127,1.027869,294.0
4,0.377488,0.0,0.313954,1.843428,1.178696,425.0
Mean,0.471771,7.9e-05,0.358316,1.241066,0.913282,436.8
