fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.820757,0.0,0.81619,0.106568,0.24165,2693.0
1,0.606811,0.0,0.614588,0.217578,0.392818,2672.0
2,0.687219,0.0,0.699979,0.180929,0.342246,2585.0
3,0.644013,0.0,0.644172,0.201111,0.369572,2004.0
4,0.588464,0.0,0.592222,0.250722,0.430721,2426.0
Mean,0.669453,0.0,0.67343,0.191382,0.355401,2476.0
