fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.430228,0.0,0.424118,0.188378,0.334216,504.0
1,0.146995,0.001196,0.144766,0.745461,0.786145,483.0
2,0.177966,9.2e-05,0.172719,0.490044,0.596373,478.0
3,0.125334,0.011902,0.127654,0.860067,0.84498,402.0
4,0.070415,0.126196,0.092419,1.01831,0.946565,473.0
Mean,0.190188,0.027877,0.192335,0.660452,0.701656,468.0
