fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.903175,0.195825,0.0,0.809438,0.653455,0.04117,0.168447,19.0
1,,0.787771,0.242644,0.000104,0.655474,0.57125,0.045584,0.185981,18.0
2,,0.87349,0.211025,1e-06,0.530449,0.414644,0.043797,0.172555,19.0
3,,0.787165,0.089421,3.8e-05,0.703596,0.563573,0.042269,0.174242,20.0
4,,0.644153,0.157402,0.007077,0.398827,0.300565,0.030377,0.153632,16.0
Mean,,0.7991507999999999,0.17926340000000002,0.001444,0.6195568,0.5006974000000001,0.040639400000000006,0.1709714,18.4
