fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.897116,0.786993,0.0,0.886005,0.726386,0.203602,0.321885,3671
1,0.777649,0.534595,0.0,0.755854,0.577068,0.458211,0.530164,3667
2,0.819815,0.619555,0.0,0.801823,0.622766,0.375217,0.470655,3542
3,0.753682,0.478881,0.0,0.75836,0.567167,0.415597,0.503672,2700
4,0.752717,0.439314,0.0,0.749514,0.56677,0.552219,0.589399,3324
