epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,2,,,0.8220369219779968,0.8225154876708984,0.8220369219779968
0,2,0.9237561821937561,,,,
1,5,,,0.9185134172439575,0.9578388333320618,0.9185134172439575
1,5,0.5838320851325989,,,,
2,8,,,0.6487619876861572,0.6496659517288208,0.6487619876861572
2,8,0.47062841057777405,,,,
3,11,,,0.784827709197998,0.7852047085762024,0.784827709197998
3,11,0.7033833861351013,,,,
4,14,,,0.7719175219535828,0.7722833752632141,0.7719175219535828
4,14,0.785120964050293,,,,
5,17,,,0.6805386543273926,0.680945098400116,0.6805386543273926
5,17,0.7541637420654297,,,,
6,20,,,0.33668822050094604,0.33776405453681946,0.33668822050094604
6,20,0.6210454702377319,,,,
7,23,,,0.5213280320167542,0.5231664776802063,0.5213280320167542
7,23,0.25219282507896423,,,,
8,26,,,0.09652452170848846,0.10063295811414719,0.09652452170848846
8,26,0.3640162944793701,,,,
9,29,,,0.08208545297384262,0.08663905411958694,0.08208545297384262
9,29,0.14378413558006287,,,,
10,32,,,0.16248874366283417,0.16516350209712982,0.16248874366283417
10,32,0.07400747388601303,,,,
11,35,,,0.048705194145441055,0.053316473960876465,0.048705194145441055
11,35,0.13880035281181335,,,,
12,38,,,0.10955842584371567,0.11243955045938492,0.10955842584371567
12,38,0.09208857268095016,,,,
13,41,,,0.07306362688541412,0.07747351378202438,0.07306361943483353
13,41,0.08498316258192062,,,,
14,44,,,0.026756061241030693,0.029971690848469734,0.026756061241030693
14,44,0.08248613774776459,,,,
15,47,,,0.040800586342811584,0.04571983590722084,0.04080059751868248
15,47,0.05990130081772804,,,,
16,49,,0.052669066935777664,,,
16,50,,,0.0439973808825016,0.05074475333094597,0.04399736598134041
16,50,0.05641527473926544,,,,
17,53,,,0.020040273666381836,0.024898115545511246,0.020040273666381836
17,53,0.06148047745227814,,,,
18,56,,,0.03471335023641586,0.03835632652044296,0.03471336513757706
18,56,0.052108053117990494,,,,
19,59,,,0.018708359450101852,0.026485735550522804,0.018708361312747
19,59,0.049344755709171295,,,,
20,62,,,0.017869729548692703,0.023639854043722153,0.017869731411337852
20,62,0.04947468265891075,,,,
21,65,,,0.028686974197626114,0.03141135722398758,0.028686974197626114
21,65,0.050202544778585434,,,,
22,68,,,0.020083202049136162,0.02780766598880291,0.020083194598555565
22,68,0.047775935381650925,,,,
23,71,,,0.019356494769454002,0.023632433265447617,0.01935652270913124
23,71,0.05145009234547615,,,,
24,74,,,0.021276310086250305,0.024752149358391762,0.0212763212621212
24,74,0.04470571130514145,,,,
25,77,,,0.018652254715561867,0.02478869818150997,0.01865226775407791
25,77,0.04738447815179825,,,,
26,80,,,0.022738078609108925,0.02605871669948101,0.02273806743323803
26,80,0.048819903284311295,,,,
27,83,,,0.026515310630202293,0.0296529121696949,0.02651531994342804
27,83,0.051309529691934586,,,,
28,86,,,0.02340189553797245,0.026517217978835106,0.023401891812682152
28,86,0.05174042657017708,,,,
29,89,,,0.020791875198483467,0.02479502186179161,0.020791882649064064
29,89,0.04768598452210426,,,,
30,92,,,0.029014043509960175,0.03232138231396675,0.029014036059379578
30,92,0.04659887030720711,,,,
31,95,,,0.022187544032931328,0.025506284087896347,0.022187557071447372
31,95,0.048398301005363464,,,,
32,98,,,0.023491138592362404,0.032086391001939774,0.0234911497682333
32,98,0.0510384775698185,,,,
33,99,,0.04251166060566902,,,
33,101,,,0.019442632794380188,0.024581100791692734,0.019442638382315636
33,101,0.047298554331064224,,,,
34,104,,,0.02623043581843376,0.02875332720577717,0.02623041346669197
34,104,0.0463898628950119,,,,
35,107,,,0.027182133868336678,0.029785817489027977,0.02718214876949787
35,107,0.04816923663020134,,,,
36,110,,,0.020617082715034485,0.02914358116686344,0.02061709575355053
36,110,0.044508401304483414,,,,
37,113,,,0.018392451107501984,0.02425321936607361,0.018392441794276237
37,113,0.052284419536590576,,,,
38,116,,,0.025111788883805275,0.027450336143374443,0.025111787021160126
38,116,0.04696594178676605,,,,
39,119,,,0.021410027518868446,0.02468765154480934,0.021410033106803894
39,119,0.052188217639923096,,,,
40,122,,,0.01857050135731697,0.026237744837999344,0.018570510670542717
40,122,0.047973621636629105,,,,
41,125,,,0.01912751980125904,0.024231771007180214,0.01912752166390419
41,125,0.04621891677379608,,,,
42,128,,,0.030127370730042458,0.033053163439035416,0.03012736141681671
42,128,0.049412477761507034,,,,
43,131,,,0.03081800602376461,0.03380636125802994,0.03081800602376461
43,131,0.04945481941103935,,,,
44,134,,,0.02072804607450962,0.024789096787571907,0.02072804979979992
44,134,0.04264736920595169,,,,
45,137,,,0.018653497099876404,0.02472795732319355,0.018653487786650658
45,137,0.03991561010479927,,,,
46,140,,,0.01904268190264702,0.02452622912824154,0.019042683765292168
46,140,0.0476163886487484,,,,
47,143,,,0.025875933468341827,0.028222640976309776,0.025875920429825783
47,143,0.04231899976730347,,,,
48,146,,,0.024896172806620598,0.02725054696202278,0.024896178394556046
48,146,0.052193064242601395,,,,
49,149,,0.04960371181368828,,,
49,149,,,0.019727369770407677,0.024360453709959984,0.01972738280892372
49,149,0.04271257668733597,,,,
