fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.156871,0.39936,-0.003831,0.200081,0.428414,31.0
1,0.318493,0.086286,0.359551,0.27618,0.454232,30.0
2,0.292804,0.123208,0.331527,0.074771,0.243922,29.0
3,0.205859,0.266558,0.198387,0.172695,0.304462,31.0
4,0.037219,0.831898,0.041094,0.116745,0.332022,35.0
Mean,0.202249,0.341462,0.185346,0.168094,0.35261,31.2
