fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.655663,0.0,0.572552,0.824844,0.822115,159.0
1,0.684536,0.0,0.515702,0.649726,0.716338,207.0
2,0.76947,0.0,0.594483,0.282277,0.441221,193.0
3,0.767265,0.0,0.636417,0.239781,0.39497,198.0
4,0.654628,0.0,0.444478,1.161051,0.996859,163.0
Mean,0.706312,0.0,0.552726,0.631536,0.674301,184.0
