global_actual,global_preds
0.99583,0.8844854817675588
1.0,0.8227561229679613
1.0,0.9028937232049564
1.0,0.954593121329128
0.97837,0.8994969156144808
0.95473,0.8890287556652863
1.0,0.949752676097229
0.9782,0.8973969842773909
1.0,0.941021453184424
0.93083,0.76741587339269
0.95127,0.8118618635550248
1.0,0.9112082658907396
1.0,0.9698295744122952
0.976,0.9161898135226044
0.99673,0.9066649175326432
1.0,0.9380284441770628
0.96133,0.8773946207920681
0.99187,0.9242201409784896
0.98033,0.8351125978844794
1.0,0.8988120291369776
1.0,0.4824792155880996
1.0,0.1532259960313472
1.0,-0.1499673740320772
1.0,-0.0075298810302464
0.92244,-0.6417785232798295
0.95637,0.671471155801644
1.0,0.3790930403723603
1.0,0.4911555984388562
0.89751,0.1212150760322925
1.0,-0.1483511372544426
0.99425,0.5611015659234221
0.96935,0.1465440876926638
0.95594,0.6934193921198225
0.86782,0.3233093979125606
1.0,0.7107230884379221
0.92529,0.3422259616765795
0.95019,0.6434718975662804
0.98084,0.2123908000965123
0.92146,-0.1964988502198419
0.9751,0.7848743355885344
0.97126,0.7614781056973222
0.95785,0.60907906248443
1.0,0.3704868922650143
0.93295,0.1785566970113519
0.97126,0.805046878248066
0.96552,0.7823375080341448
0.97318,0.6321703399328711
1.0,0.3962438695521378
0.91379,0.2073154696294212
1.0,0.645030427557649
0.94444,0.2539481584011447
1.0,0.4398859111063429
0.89847,-0.0312845259094392
0.76503,-2.151793190839453
0.7459,-2.3949533557992297
0.69945,-2.585164752097108
0.39071,-1.4155236973220715
0.3,-1.5385405670894012
1.0,0.3060469154089077
0.985,0.2681726671418797
1.0,0.8394926546525407
0.905,0.8281102702881735
0.885,0.80896252569234
1.0,0.8232559754275686
1.0,0.3537164066520027
0.925,0.3118445859192961
1.0,0.7781935650973689
0.97,0.7615328340688153
0.97,0.7412134927910626
0.95,0.7635481039659231
0.86,0.3440506502582765
0.94,0.3050885453022402
0.925,0.7317875546320006
0.94,0.7126918578343578
0.965,0.6899233288569706
0.99,0.7186993576656424
0.965,0.3004633463831082
0.975,0.2638032395915483
0.95,0.680238603684146
0.985,0.6577176182047424
0.98,0.6312040304893198
1.0,0.6691865255183228
0.90733,-2.286484255158728
0.94567,-1.4420586923936918
0.99333,-1.275998070140077
0.98333,-1.6605164808928832
0.90733,-1.3282830990693768
0.993,-1.257253118912372
0.88167,-1.2749280746321716
0.92833,-1.2150463009778525
0.94233,-1.1812228271104206
0.937,-1.1945376814411526
0.75767,-2.286484255158728
0.90767,-1.4420586923936918
0.88033,-1.275998070140077
0.91233,-1.6605164808928832
0.847,-1.3282830990693768
0.895,-1.257253118912372
0.83233,-1.2749280746321716
0.89767,-1.2150463009778525
0.90033,-1.1812228271104206
0.83033,-1.1945376814411526
0.42233,-2.286484255158728
0.799,-1.4420586923936918
0.826,-1.275998070140077
0.81433,-1.6605164808928832
0.80133,-1.3282830990693768
0.80167,-1.257253118912372
0.736,-1.2749280746321716
0.81567,-1.2150463009778525
0.795,-1.1812228271104206
0.59767,-1.1945376814411526
0.952,0.3547094101379756
0.9415,0.2635468073869683
0.958,0.3700337264570048
0.9245,0.3026172614879913
0.961,0.298623681959621
1.0,0.2769578458998419
0.9955,0.3551958783461856
0.991,0.2879702832265189
0.968,0.3412938481576636
0.9845,0.2777926769461708
0.9445,0.2926237584709205
0.9585,0.341845059657046
1.0,0.2784845720059403
0.9495,0.2762236201200814
0.937,0.2900061414157593
0.8705,0.2940679917952989
0.933,0.2227844252159593
0.959,0.1184783689238621
0.915,0.1046267577129515
0.9865,0.1071973623523991
0.33333,-3.2396773557247176
0.54902,-3.282411650915883
0.3,-3.813107382567608
0.76471,-3.4157841710142804
0.68627,-4.067173906750343
0.53922,-3.511613177191319
0.95,0.375334671843298
0.95,0.3832322550756811
0.95,0.4006088480953999
0.95,0.4091942776049705
0.95,0.4268936563259231
0.95,0.4531926492568131
0.95,0.4832187187465379
0.95,0.5162161106610392
0.95,0.5450029362232724
0.95,0.5758402886675091
0.95,0.5932070529184716
0.95,0.6030982939257534
0.95,0.603704029030612
0.95,0.2774561812294226
0.95,0.2908647346274683
0.95,0.3058567343179805
0.95,0.3323011390427102
0.95,0.3618942587147082
0.95,0.3923367478201567
0.95,0.4293539200055062
0.95,0.4598392052082492
0.95,0.4953767195484864
0.95,0.5286718784801185
0.95,0.5448544994769233
0.95,0.5522685929158706
0.95,0.5502067108275328
0.95,0.1889418662251012
0.95,0.2071591866216484
0.95,0.2294654493377579
0.95,0.2620217287165432
0.95,0.2968485839839281
0.95,0.3383873062542394
0.95,0.3779854051477391
0.95,0.4178324622862386
0.95,0.451334099822144
0.95,0.4728455702286643
0.95,0.4858895749658004
0.95,0.4914492329054846
0.95,0.4926948804247421
0.95,0.1003220176085134
0.95,0.1179263476679613
0.95,0.1460336572068306
0.95,0.1858350445431527
0.95,0.2296134579369808
0.95,0.2754357177215496
0.95,0.3194110811192581
0.95,0.3582012105446784
0.95,0.3902336519173722
0.95,0.4098559696774128
0.95,0.4198962244989027
0.95,0.4284298854366657
0.95,0.4315254636028379
0.95,0.0129089691403476
0.95,0.0364418151942697
0.95,0.0700079912553281
0.95,0.1166512883028013
0.95,0.1605672299988591
0.95,0.20506018603918
0.95,0.2434517128191357
0.95,0.2810113939481968
0.95,0.3154402771563713
0.95,0.3394633702822486
0.95,0.3619717905743211
0.95,0.3732156414214671
0.95,0.3772016166846159
0.95,0.5406652101751996
0.95,0.3244655440678294
0.95,0.3255476393857598
0.99583,0.8073181342954131
1.0,0.7461727121820667
1.0,0.7554738549408408
1.0,0.8694248510179865
0.97837,0.7593006009442196
0.95473,0.7388031228525778
1.0,0.8764337118633027
0.9782,0.8244071602217624
1.0,0.8612602909911381
