fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.934163,0.843805,0.0,0.919388,0.748799,0.15578,0.303232,628.0
1,,0.864192,0.573315,0.0,0.851658,0.654393,0.472738,0.558378,712.0
2,,0.915247,0.793355,0.0,0.906859,0.727903,0.207719,0.361444,719.0
3,,0.934166,0.841756,0.0,0.927203,0.761573,0.165688,0.318029,880.0
4,,0.872717,0.622843,0.0,0.864334,0.670789,0.383874,0.505581,877.0
Mean,,0.9040969999999999,0.7350148,0.0,0.8938884,0.7126914000000001,0.2771598,0.40933279999999994,763.2
