fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.28272,0.0,0.238209,2.003975,1.219342,474.0
1,0.571391,0.0,0.419518,0.904426,0.738793,512.0
2,0.476285,0.0,0.379631,1.394801,0.984801,479.0
3,-0.04015,0.492861,-0.041356,1.669384,1.154709,294.0
4,0.225703,3e-06,0.216854,2.13867,1.260721,425.0
Mean,0.30319,0.098573,0.242571,1.622251,1.071673,436.8
