fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.504152,0.0,0.525162,0.259354,0.441806,2693.0
1,0.67806,0.0,0.677853,0.187516,0.334279,2672.0
2,0.596698,0.0,0.61143,0.222991,0.382821,2585.0
3,0.554803,0.0,0.549367,0.273641,0.444929,2004.0
4,0.517371,0.0,0.522633,0.263958,0.440984,2426.0
Mean,0.570217,0.0,0.577289,0.241492,0.408964,2476.0
