fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.954301,0.0,0.961401,0.001738,0.028143,41.0
1,0.966639,0.0,0.97116,0.001272,0.022957,38.0
2,0.937713,0.0,0.941852,0.001777,0.027324,43.0
3,0.9565,0.0,0.959027,0.001498,0.024995,42.0
4,0.954582,0.0,0.963734,0.001493,0.022908,40.0
Mean,0.953947,0.0,0.959435,0.001556,0.025265,40.8
