fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.675221,4.2e-05,0.706196,0.001324,0.022426,30.0
1,0.734581,6e-06,0.744335,0.000843,0.021508,29.0
2,0.613407,0.000243,0.653629,0.001935,0.031095,31.0
3,0.733566,6e-06,0.734327,0.000781,0.02149,29.0
4,0.668156,2.1e-05,0.737695,0.001569,0.0264,33.0
Mean,0.684986,6.4e-05,0.715236,0.00129,0.024584,30.4
