fold,pearson,r2,spearman,mse,mae,n_vals,note
0,0.3656376208190186,0.12746977343152055,0.4472311677639677,0.0013961946653303686,0.0303327105625,56.0,
1,0.16495417909791582,0.0020425751085357824,0.15999912185299547,0.001221302489035446,0.030706772976785708,56.0,
2,0.25346165453987196,0.06169848592257465,0.3051796224137868,0.0014395149243519609,0.030614863442592587,54.0,
3,0.09780058770893114,-1.4931099808779758,0.06924463371676488,0.004133482139986155,0.05759613085555554,54.0,
4,0.08968236946434036,-0.10707000980260473,0.15325688677193897,0.0018815426659900064,0.03501748165499999,60.0,
Mean,0.19430728232601563,-0.2817938312435899,0.2269822865038908,0.0020144073769387872,0.03685359189848676,56.0,
