Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Dosage,Num_tails,Num_carbon_in_tail,MolWt,Exposure_time,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1
23.80952381,23.80952381,47.61904762,4.761904762,17.66716172,25.0,4.0,8.0,1626.442,24,1.0,0.0,1.0,0.0,0.0,0.0,1.0
56.49717514,0.0,43.50282486,0.0,21.28626566,,3.0,,849.322,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,23.39558897,,3.0,,933.484,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,25.50491228,,3.0,,1017.646,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,27.61423559,,3.0,,1101.808,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,29.7235589,,3.0,,1185.97,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,31.83288221,,3.0,,1270.132,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,25.50160401,,3.0,,1017.514,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,27.61092732,,3.0,,1101.676,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,29.72025063,,3.0,,1185.838,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,31.82957393,,3.0,,1270.0,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.49717514,0.0,43.50282486,0.0,33.93889724,,3.0,,1354.162,24,0.0,0.0,0.0,1.0,1.0,0.0,0.0
