fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.281476,-0.179495,0.0,0.283303,0.231664,0.000552,0.013944,366.0
1,,0.287809,-0.154706,0.0,0.313848,0.256638,0.000593,0.014716,368.0
2,,0.216131,-0.418335,3e-05,0.294445,0.240784,0.000698,0.016879,366.0
3,,0.144537,-1.063118,0.005601,0.267085,0.218793,0.000914,0.016122,366.0
4,,0.209558,-0.391109,5.3e-05,0.259804,0.212471,0.000651,0.01515,366.0
Mean,,0.2279022,-0.4413526,0.0011367999999999999,0.283697,0.23207,0.0006816,0.015362199999999998,366.4
