fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.891896,0.250598,0.0,0.866682,0.720455,0.038366,0.152525,19.0
1,,0.699204,0.155536,0.001242,0.744022,0.629098,0.050827,0.181228,18.0
2,,0.812096,0.296186,2.4e-05,0.673262,0.519951,0.03907,0.146451,19.0
3,,0.694644,-0.036772,0.000677,0.753809,0.566038,0.048126,0.192383,20.0
4,,0.559282,0.220829,0.024295,0.461098,0.31774,0.02809,0.140423,16.0
Mean,,0.7314244,0.1772754,0.0052476,0.6997745999999999,0.5506564,0.040895799999999996,0.16260199999999997,18.4
