Amine_number,Full_SMILES,Amine_SMILES,Tail_length,Num_tails,Amine,Tail,Delivery_target,Route_of_administration,Purity,Target_or_delivered_gene,Experiment_weight,Value_name
161,CCCCCCCCCCCCCCOC(=O)CCN(CCCOCCOCCOCCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,NCCCOCCOCCOCCCN,14,4,KW_A161,C14,liver,iv,Pure,FVII,3,FVII silencing
164,CCCCCCCCCCCCCCOC(=O)CCN(CCOCCO)CCC(=O)OCCCCCCCCCCCCCC,NCCOCCO,14,2,KW_A164,C14,liver,iv,Pure,FVII,3,FVII silencing
191,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)[C@@H](CO)CC(C)C,CC(C)C[C@H](N)CO,11,2,KW_A191,C11,liver,iv,Pure,FVII,3,FVII silencing
191,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)[C@@H](CO)CC(C)C,CC(C)C[C@H](N)CO,12,2,KW_A191,C12,liver,iv,Pure,FVII,3,FVII silencing
191,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)[C@@H](CO)CC(C)C,CC(C)C[C@H](N)CO,14,2,KW_A191,C14,liver,iv,Pure,FVII,3,FVII silencing
200,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CC1,NCCNCCN1CCN(CCN)CC1,10,5,KW_A200,C10,liver,iv,Pure,FVII,3,FVII silencing
200,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CC1,NCCNCCN1CCN(CCN)CC1,11,5,KW_A200,C11,liver,iv,Pure,FVII,3,FVII silencing
200,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CC1,NCCNCCN1CCN(CCN)CC1,12,5,KW_A200,C12,liver,iv,Pure,FVII,3,FVII silencing
200,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CC1,NCCNCCN1CCN(CCN)CC1,13,5,KW_A200,C13,liver,iv,Pure,FVII,3,FVII silencing
200,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CC1,NCCNCCN1CCN(CCN)CC1,14,5,KW_A200,C14,liver,iv,Pure,FVII,3,FVII silencing
205,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCC)CC1,NCCN1CCNCC1,12,3,KW_A205,C12,liver,iv,Pure,FVII,3,FVII silencing
205,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCC)CC1,NCCN1CCNCC1,14,3,KW_A205,C14,liver,iv,Pure,FVII,3,FVII silencing
217,CCCCCCCCCCCCOC(=O)CCN(CC(C)N(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CC(C)N(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,CC(N)CNCC(C)N,12,5,KW_A217,C12,liver,iv,Pure,FVII,3,FVII silencing
217,CCCCCCCCCCCCCOC(=O)CCN(CC(C)N(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CC(C)N(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CC(N)CNCC(C)N,13,5,KW_A217,C13,liver,iv,Pure,FVII,3,FVII silencing
218,CCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CC)CCCN(C)CCC(=O)OCCCCCCCCCCCCC,CCN(CCCNC)CCCNC,13,2,KW_A218,C13,liver,iv,Pure,FVII,3,FVII silencing
303,CCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,CN(C)CCCNCCCN,10,3,KW_A303,C10,liver,iv,Pure,FVII,3,FVII silencing
303,CCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,CN(C)CCCNCCCN,12,3,KW_A303,C12,liver,iv,Pure,FVII,3,FVII silencing
304,CCCCCCCCCCCOC(=O)CCN(C)CCN(CCN(C)CCC(=O)OCCCCCCCCCCC)CCN(C)CCC(=O)OCCCCCCCCCCC,CNCCN(CCNC)CCNC,11,3,KW_A304,C11,liver,iv,Pure,FVII,3,FVII silencing
304,CCCCCCCCCCCCOC(=O)CCN(C)CCN(CCN(C)CCC(=O)OCCCCCCCCCCCC)CCN(C)CCC(=O)OCCCCCCCCCCCC,CNCCN(CCNC)CCNC,12,3,KW_A304,C12,liver,iv,Pure,FVII,3,FVII silencing
304,CCCCCCCCCCCCCOC(=O)CCN(C)CCN(CCN(C)CCC(=O)OCCCCCCCCCCCCC)CCN(C)CCC(=O)OCCCCCCCCCCCCC,CNCCN(CCNC)CCNC,13,3,KW_A304,C13,liver,iv,Pure,FVII,3,FVII silencing
304,CCCCCCCCCCCCCCOC(=O)CCN(C)CCN(CCN(C)CCC(=O)OCCCCCCCCCCCCCC)CCN(C)CCC(=O)OCCCCCCCCCCCCCC,CNCCN(CCNC)CCNC,14,3,KW_A304,C14,liver,iv,Pure,FVII,3,FVII silencing
305,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CC(C)N(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,CC(N)CN,12,4,KW_A305,C12,liver,iv,Pure,FVII,3,FVII silencing
305,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CC(C)N(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CC(N)CN,13,4,KW_A305,C13,liver,iv,Pure,FVII,3,FVII silencing
306,CCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,CN(CCCN)CCCN,10,4,KW_A306,C10,liver,iv,Pure,FVII,3,FVII silencing
306,CCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,CN(CCCN)CCCN,11,4,KW_A306,C11,liver,iv,Pure,FVII,3,FVII silencing
306,CCCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,CN(CCCN)CCCN,12,4,KW_A306,C12,liver,iv,Pure,FVII,3,FVII silencing
306,CCCCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CN(CCCN)CCCN,13,4,KW_A306,C13,liver,iv,Pure,FVII,3,FVII silencing
306,CCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,CN(CCCN)CCCN,14,4,KW_A306,C14,liver,iv,Pure,FVII,3,FVII silencing
313,CCCCCCCCCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CC1)CCC(=O)OCCCCCCCCCC,NCCCN1CCN(CCCN)CC1,10,4,KW_A313,C10,liver,iv,Pure,FVII,3,FVII silencing
313,CCCCCCCCCCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CC1)CCC(=O)OCCCCCCCCCCC,NCCCN1CCN(CCCN)CC1,11,4,KW_A313,C11,liver,iv,Pure,FVII,3,FVII silencing
313,CCCCCCCCCCCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CC1)CCC(=O)OCCCCCCCCCCCC,NCCCN1CCN(CCCN)CC1,12,4,KW_A313,C12,liver,iv,Pure,FVII,3,FVII silencing
313,CCCCCCCCCCCCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CC1)CCC(=O)OCCCCCCCCCCCCC,NCCCN1CCN(CCCN)CC1,13,4,KW_A313,C13,liver,iv,Pure,FVII,3,FVII silencing
313,CCCCCCCCCCCCCCOC(=O)CCN(CCCN1CCN(CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CC1)CCC(=O)OCCCCCCCCCCCCCC,NCCCN1CCN(CCCN)CC1,14,4,KW_A313,C14,liver,iv,Pure,FVII,3,FVII silencing
315,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CC1(C)CC(N(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CC(C)(C)C1,CC1(C)CC(N)CC(C)(CN)C1,12,4,KW_A315,C12,liver,iv,Pure,FVII,3,FVII silencing
347,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)Cc1cccc(CN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)c1,NCc1cccc(CN)c1,10,4,KW_A347,C10,liver,iv,Pure,FVII,3,FVII silencing
347,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)Cc1cccc(CN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)c1,NCc1cccc(CN)c1,11,4,KW_A347,C11,liver,iv,Pure,FVII,3,FVII silencing
347,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)Cc1cccc(CN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)c1,NCc1cccc(CN)c1,12,4,KW_A347,C12,liver,iv,Pure,FVII,3,FVII silencing
347,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)Cc1cccc(CN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)c1,NCc1cccc(CN)c1,13,4,KW_A347,C13,liver,iv,Pure,FVII,3,FVII silencing
371,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)c1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2,11,2,KW_A371,C11,liver,iv,Pure,FVII,3,FVII silencing
371,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2,12,2,KW_A371,C12,liver,iv,Pure,FVII,3,FVII silencing
371,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2,14,2,KW_A371,C14,liver,iv,Pure,FVII,3,FVII silencing
500,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(C)CCN(C)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CN(CCN)CCN(C)CCN,13,4,KW_A500,C13,liver,iv,Pure,FVII,3,FVII silencing
501,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CC)CCN(CC)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,CCN(CCN)CCN(CC)CCN,10,4,KW_A501,C10,liver,iv,Pure,FVII,3,FVII silencing
501,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CC)CCN(CC)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,CCN(CCN)CCN(CC)CCN,11,4,KW_A501,C11,liver,iv,Pure,FVII,3,FVII silencing
501,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CC)CCN(CC)CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,CCN(CCN)CCN(CC)CCN,12,4,KW_A501,C12,liver,iv,Pure,FVII,3,FVII silencing
501,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(CC)CCN(CC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CCN(CCN)CCN(CC)CCN,13,4,KW_A501,C13,liver,iv,Pure,FVII,3,FVII silencing
501,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(CC)CCN(CC)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,CCN(CCN)CCN(CC)CCN,14,4,KW_A501,C14,liver,iv,Pure,FVII,3,FVII silencing
502,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CC1,NCCN1CCN(CCN)CC1,10,4,KW_A502,C10,liver,iv,Pure,FVII,3,FVII silencing
502,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CC1,NCCN1CCN(CCN)CC1,11,4,KW_A502,C11,liver,iv,Pure,FVII,3,FVII silencing
502,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CC1,NCCN1CCN(CCN)CC1,12,4,KW_A502,C12,liver,iv,Pure,FVII,3,FVII silencing
502,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CC1,NCCN1CCN(CCN)CC1,13,4,KW_A502,C13,liver,iv,Pure,FVII,3,FVII silencing
502,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(CCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CC1,NCCN1CCN(CCN)CC1,14,4,KW_A502,C14,liver,iv,Pure,FVII,3,FVII silencing
503,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(C)CCCN(C)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,CN(CCN)CCCN(C)CCN,10,4,KW_A503,C10,liver,iv,Pure,FVII,3,FVII silencing
503,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(C)CCCN(C)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,CN(CCN)CCCN(C)CCN,11,4,KW_A503,C11,liver,iv,Pure,FVII,3,FVII silencing
503,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(C)CCCN(C)CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,CN(CCN)CCCN(C)CCN,12,4,KW_A503,C12,liver,iv,Pure,FVII,3,FVII silencing
503,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(C)CCCN(C)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CN(CCN)CCCN(C)CCN,13,4,KW_A503,C13,liver,iv,Pure,FVII,3,FVII silencing
503,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(C)CCCN(C)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,CN(CCN)CCCN(C)CCN,14,4,KW_A503,C14,liver,iv,Pure,FVII,3,FVII silencing
504,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(C)CCN(CCC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CCCN(CCN)CCN(C)CCN,13,4,KW_A504,C13,liver,iv,Pure,FVII,3,FVII silencing
505,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(C)CCN(CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)C1CCCCC1,CN(CCN)CCN(CCN)C1CCCCC1,13,4,KW_A505,C13,liver,iv,Pure,FVII,3,FVII silencing
506,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(C)CCN(CCCCC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CCCCCN(CCN)CCN(C)CCN,13,4,KW_A506,C13,liver,iv,Pure,FVII,3,FVII silencing
508,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(CC)CCN(CC)CCN(CC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CCN(CCN)CCN(CC)CCN(CC)CCN,13,4,KW_A508,C13,liver,iv,Pure,FVII,3,FVII silencing
509,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(CCC)CCN(CCC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CCCN(CCN)CCN(CCC)CCN,13,4,KW_A509,C13,liver,iv,Pure,FVII,3,FVII silencing
510,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(CCN(CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)C1CCCCC1)C(C)CC,CCC(C)N(CCN)CCN(CCN)C1CCCCC1,13,4,KW_A510,C13,liver,iv,Pure,FVII,3,FVII silencing
514,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(CC)CCCN(CC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CCN(CCN)CCCN(CC)CCN,13,4,KW_A514,C13,liver,iv,Pure,FVII,3,FVII silencing
515,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(C)CCN(CCN(C)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CCN(C)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CN(CCN)CCN(CCN(C)CCN)CCN(C)CCN,13,6,KW_A515,C13,liver,iv,Pure,FVII,3,FVII silencing
