Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Dose/Cells,Num_tails,Num_carbon_in_tail,MolWt,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB
40.0,14.571202956989254,28.038212854002342,1.3009170000000003,10.0,3.4339872044851463,2.0,10,6.0745158014859735,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23.80952381,23.80952381,47.61904762,4.761904762,12.61823901,3.4826421068189366,2.0,12,6.854821692682635,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,11.82787796,4.096665031183668,3.0,4,6.508213095673153,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,10.1785476,3.949178857453008,2.0,6,6.357261508646128,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,7,6.197927751730966,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
40.0,14.404032258064523,27.71653950601321,1.2859920000000005,10.0,3.4339872044851463,2.0,10,6.063003507890298,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25.0,30.0,30.0,1.0,7.462832198,3.64581956649241,3.0,8,6.0464332040682605,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,12,6.272582623597118,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6.5,1.0,26.6,24.2,7.432150072150075,3.2493597747115577,8.0,11,7.631039735212305,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
25.0,30.0,30.0,1.0,14.19582054,4.276375836610416,2.0,13,6.688445618905689,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,16.3078662,4.413274919130455,3.0,10,6.8277516538782,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
