fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.899474,0.0,0.946668,0.000264,0.009017,31.0
1,0.87292,0.0,0.883415,0.000255,0.010179,28.0
2,0.945385,0.0,0.954058,0.000121,0.005412,29.0
3,0.856738,0.0,0.911924,0.000312,0.009581,32.0
4,0.916472,0.0,0.93172,0.000183,0.00744,32.0
Mean,0.898198,0.0,0.925557,0.000227,0.008326,30.4
