fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.953691,0.892157,0.0,0.955708,0.822812,0.108305,0.249907,672.0
1,,0.784169,0.510526,0.0,0.80423,0.604006,0.512916,0.575792,557.0
2,,0.860859,0.665166,0.0,0.878321,0.688997,0.333068,0.44831,665.0
3,,0.775339,0.483161,0.0,0.809359,0.60683,0.474889,0.564122,533.0
4,,0.710536,0.261383,0.0,0.721534,0.547127,0.782159,0.719887,285.0
Mean,,0.8169188000000001,0.5624786,0.0,0.8338304000000001,0.6539544,0.4422674,0.5116036,542.4
