fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.990887,0.981839,0.0,0.987199,0.925784,1.7e-05,0.002999,56.0
1,,0.994464,0.988659,0.0,0.991421,0.936663,9e-06,0.002261,59.0
2,,0.993516,0.987052,0.0,0.987049,0.923212,1.2e-05,0.002569,60.0
3,,0.992814,0.984929,0.0,0.991814,0.940796,1.5e-05,0.002612,56.0
4,,0.992807,0.985613,0.0,0.983597,0.91539,1.4e-05,0.00268,57.0
Mean,,0.9928976,0.9856184000000001,0.0,0.9882159999999999,0.928369,1.34e-05,0.0026241999999999997,57.6
