fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.986011,0.970149,0.0,0.937278,0.844645,5.2e-05,0.005253,66.0
1,,0.989131,0.977265,0.0,0.94664,0.855499,3.7e-05,0.004201,67.0
2,,0.990167,0.978889,0.0,0.962598,0.885202,3.4e-05,0.004112,70.0
3,,0.974212,0.943859,0.0,0.947231,0.847391,6e-05,0.005676,65.0
4,,0.986747,0.971465,0.0,0.945889,0.850787,4.6e-05,0.004862,68.0
Mean,,0.9852536000000001,0.9683254000000001,0.0,0.9479272,0.8567047999999999,4.58e-05,0.0048208,67.2
