fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.964527,0.900148,0.0,0.972935,0.893141,0.001865,0.034296,24.0
1,,0.969911,0.926332,0.0,0.974682,0.915285,0.001662,0.031287,24.0
2,,0.960516,0.892326,0.0,0.918544,0.837882,0.002734,0.038164,16.0
3,,0.967629,0.916125,0.0,0.960708,0.893141,0.001779,0.032668,24.0
4,,0.974518,0.926205,0.0,0.973808,0.915285,0.001673,0.028728,24.0
Mean,,0.9674202000000001,0.9122271999999999,0.0,0.9601354000000001,0.8909468,0.0019425999999999998,0.033028600000000005,22.4
