fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.922543,0.850071,0.0,0.909817,0.7518,0.151369,0.298308,1126
1,0.908144,0.822979,0.0,0.894531,0.729708,0.178789,0.328199,1126
2,0.918178,0.841986,0.0,0.905566,0.748006,0.160764,0.308154,1126
3,0.920944,0.847093,0.0,0.90542,0.746438,0.155762,0.305787,1127
4,0.866136,0.742609,0.0,0.846552,0.664458,0.269343,0.413483,1127
