fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.922497,0.834658,0.0,0.915372,0.751679,0.166931,0.319521,1126
1,0.946251,0.886969,0.0,0.938892,0.793722,0.11416,0.260471,1126
2,0.941949,0.877182,0.0,0.935659,0.78686,0.124956,0.275867,1126
3,0.936734,0.865142,0.0,0.927208,0.77075,0.137376,0.290691,1127
4,0.928205,0.845663,0.0,0.918274,0.756893,0.161504,0.315643,1127
