identifier,full,smiles
1,CN(CCN)CCN,*NCCN(C)CCN
2,CN(CCCN)CCCN,*NCCCN(C)CCCN
3,NCCN1CCN(CCN)CC1,*NCCN1CCN(CCN)CC1
4,NCCCN1CCN(CCCN)CC1,*NCCCN1CCN(CCCN)CC1
5,CN(C)CCN,*NCCN(C)C
6,CN(C)CCCN,*NCCCN(C)C
7,CCN(CC)CCN,*NCCN(CC)CC
8,CCN(CC)CCCN,*NCCCN(CC)CC
9,CN1CCN(CCN)CC1,*NCCN1CCN(C)CC1
10,CN1CCN(CCCN)CC1,*NCCCN1CCN(C)CC1
11,NCCCN,*NCCCN
12,NCCN(CCN)CCN,*NCCN(CCN)CCN
