fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.863632,0.72523,0.0,0.86306,0.736393,0.271899,0.431422,521.0
1,,0.771942,0.532553,0.0,0.767844,0.640734,0.462311,0.571744,546.0
2,,0.867496,0.732583,0.0,0.864761,0.738204,0.268222,0.427035,519.0
3,,0.779578,0.548011,0.0,0.797609,0.670269,0.343306,0.522089,145.0
4,,0.765959,0.285593,0.0,0.770896,0.643415,0.728171,0.662588,453.0
Mean,,0.8097213999999999,0.564794,0.0,0.8128340000000002,0.6858029999999999,0.4147818,0.5229756,436.8
