fold,note,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,,0.937598,0.836226,0.0,0.937268,0.788235,0.164475,0.326831,672.0
1,,0.8797,0.608697,0.0,0.88196,0.696488,0.410043,0.532855,557.0
2,,0.936253,0.836337,0.0,0.934533,0.783118,0.1628,0.321733,665.0
3,,0.938072,0.840496,0.0,0.93772,0.786814,0.146558,0.307461,533.0
4,,0.847612,0.360146,0.0,0.852956,0.676339,0.677574,0.685601,285.0
Mean,,0.907847,0.6963804,0.0,0.9088874,0.7461987999999999,0.31228999999999996,0.4348962,542.4
